job_id,company_name,skill_canonical,category,matched_term,matched_field,posting_month
meta_00025,Meta,Generative AI,research_domains,Generative AI,description,2026-02
meta_00026,Meta,LLMs,research_domains,LLMs,description,2026-02
meta_00026,Meta,Recommender Systems,research_domains,ranking,description,2026-02
meta_00026,Meta,Generative AI,research_domains,Generative AI,description,2026-02
meta_00027,Meta,LLMs,research_domains,LLMs,description,2026-02
meta_00027,Meta,Recommender Systems,research_domains,ranking,description,2026-02
meta_00027,Meta,Generative AI,research_domains,Generative AI,description,2026-02
meta_00028,Meta,LLMs,research_domains,LLMs,description,2026-02
meta_00028,Meta,Recommender Systems,research_domains,ranking,description,2026-02
meta_00028,Meta,Generative AI,research_domains,Generative AI,description,2026-02
meta_00029,Meta,LLMs,research_domains,LLMs,description,2026-02
meta_00029,Meta,Recommender Systems,research_domains,ranking,description,2026-02
meta_00029,Meta,Generative AI,research_domains,Generative AI,description,2026-02
meta_00030,Meta,LLMs,research_domains,LLMs,description,2026-02
meta_00030,Meta,Recommender Systems,research_domains,ranking,description,2026-02
meta_00030,Meta,Generative AI,research_domains,Generative AI,description,2026-02
meta_00031,Meta,LLMs,research_domains,LLMs,description,2026-02
meta_00031,Meta,Recommender Systems,research_domains,ranking,description,2026-02
meta_00031,Meta,Generative AI,research_domains,Generative AI,description,2026-02
meta_00032,Meta,LLMs,research_domains,LLMs,description,2026-02
meta_00032,Meta,Recommender Systems,research_domains,ranking,description,2026-02
meta_00032,Meta,Generative AI,research_domains,Generative AI,description,2026-02
meta_00033,Meta,LLMs,research_domains,LLMs,description,2026-02
meta_00033,Meta,Recommender Systems,research_domains,ranking,description,2026-02
meta_00033,Meta,Generative AI,research_domains,Generative AI,description,2026-02
meta_00034,Meta,LLMs,research_domains,LLMs,description,2026-02
meta_00034,Meta,Recommender Systems,research_domains,ranking,description,2026-02
meta_00034,Meta,Generative AI,research_domains,Generative AI,description,2026-02
meta_00035,Meta,LLMs,research_domains,LLMs,description,2026-02
meta_00035,Meta,Recommender Systems,research_domains,ranking,description,2026-02
meta_00035,Meta,Generative AI,research_domains,Generative AI,description,2026-02
meta_00036,Meta,LLMs,research_domains,LLMs,description,2026-02
meta_00036,Meta,Recommender Systems,research_domains,ranking,description,2026-02
meta_00036,Meta,Generative AI,research_domains,Generative AI,description,2026-02
meta_00037,Meta,LLMs,research_domains,LLMs,description,2026-02
meta_00037,Meta,Recommender Systems,research_domains,ranking,description,2026-02
meta_00037,Meta,Generative AI,research_domains,Generative AI,description,2026-02
meta_00038,Meta,LLMs,research_domains,LLMs,description,2026-02
meta_00038,Meta,Recommender Systems,research_domains,ranking,description,2026-02
meta_00038,Meta,Generative AI,research_domains,Generative AI,description,2026-02
meta_00039,Meta,LLMs,research_domains,LLMs,description,2026-02
meta_00039,Meta,Recommender Systems,research_domains,ranking,description,2026-02
meta_00039,Meta,Generative AI,research_domains,Generative AI,description,2026-02
meta_00040,Meta,LLMs,research_domains,LLMs,description,2026-02
meta_00040,Meta,Recommender Systems,research_domains,ranking,description,2026-02
meta_00040,Meta,Generative AI,research_domains,Generative AI,description,2026-02
meta_00041,Meta,LLMs,research_domains,LLMs,description,2026-02
meta_00041,Meta,Recommender Systems,research_domains,ranking,description,2026-02
meta_00041,Meta,Generative AI,research_domains,Generative AI,description,2026-02
meta_00042,Meta,LLMs,research_domains,LLMs,description,2026-02
meta_00042,Meta,Recommender Systems,research_domains,ranking,description,2026-02
meta_00042,Meta,Generative AI,research_domains,Generative AI,description,2026-02
meta_00043,Meta,LLMs,research_domains,LLMs,description,2026-02
meta_00043,Meta,Recommender Systems,research_domains,ranking,description,2026-02
meta_00043,Meta,Generative AI,research_domains,Generative AI,description,2026-02
meta_00044,Meta,LLMs,research_domains,LLMs,description,2026-02
meta_00044,Meta,Recommender Systems,research_domains,ranking,description,2026-02
meta_00044,Meta,Generative AI,research_domains,Generative AI,description,2026-02
meta_00045,Meta,LLMs,research_domains,LLMs,description,2026-02
meta_00045,Meta,Recommender Systems,research_domains,ranking,description,2026-02
meta_00045,Meta,Generative AI,research_domains,Generative AI,description,2026-02
meta_00046,Meta,LLMs,research_domains,LLMs,description,2026-02
meta_00046,Meta,Recommender Systems,research_domains,ranking,description,2026-02
meta_00046,Meta,Generative AI,research_domains,Generative AI,description,2026-02
meta_00047,Meta,LLMs,research_domains,LLMs,description,2026-02
meta_00047,Meta,Recommender Systems,research_domains,ranking,description,2026-02
meta_00047,Meta,Generative AI,research_domains,Generative AI,description,2026-02
meta_00048,Meta,LLMs,research_domains,LLMs,description,2026-02
meta_00048,Meta,Recommender Systems,research_domains,ranking,description,2026-02
meta_00048,Meta,Generative AI,research_domains,Generative AI,description,2026-02
meta_00049,Meta,LLMs,research_domains,LLMs,description,2026-02
meta_00049,Meta,Recommender Systems,research_domains,ranking,description,2026-02
meta_00049,Meta,Generative AI,research_domains,Generative AI,description,2026-02
meta_00050,Meta,LLMs,research_domains,LLMs,description,2026-02
meta_00050,Meta,Recommender Systems,research_domains,ranking,description,2026-02
meta_00050,Meta,Generative AI,research_domains,Generative AI,description,2026-02
meta_00051,Meta,LLMs,research_domains,LLMs,description,2026-02
meta_00051,Meta,Recommender Systems,research_domains,ranking,description,2026-02
meta_00051,Meta,Generative AI,research_domains,Generative AI,description,2026-02
meta_00052,Meta,LLMs,research_domains,LLMs,description,2026-02
meta_00052,Meta,Recommender Systems,research_domains,ranking,description,2026-02
meta_00052,Meta,Generative AI,research_domains,Generative AI,description,2026-02
meta_00053,Meta,LLMs,research_domains,LLMs,description,2026-02
meta_00053,Meta,Recommender Systems,research_domains,ranking,description,2026-02
meta_00053,Meta,Generative AI,research_domains,Generative AI,description,2026-02
meta_00054,Meta,LLMs,research_domains,LLMs,description,2026-02
meta_00054,Meta,Recommender Systems,research_domains,ranking,description,2026-02
meta_00054,Meta,Generative AI,research_domains,Generative AI,description,2026-02
meta_00055,Meta,LLMs,research_domains,LLMs,description,2026-02
meta_00055,Meta,Recommender Systems,research_domains,ranking,description,2026-02
meta_00055,Meta,Generative AI,research_domains,Generative AI,description,2026-02
meta_00056,Meta,LLMs,research_domains,LLMs,description,2026-02
meta_00056,Meta,Recommender Systems,research_domains,ranking,description,2026-02
meta_00056,Meta,Generative AI,research_domains,Generative AI,description,2026-02
meta_00057,Meta,LLMs,research_domains,LLMs,description,2026-02
meta_00057,Meta,Recommender Systems,research_domains,ranking,description,2026-02
meta_00057,Meta,Generative AI,research_domains,Generative AI,description,2026-02
meta_00058,Meta,LLMs,research_domains,LLMs,description,2026-02
meta_00058,Meta,Recommender Systems,research_domains,ranking,description,2026-02
meta_00058,Meta,Generative AI,research_domains,Generative AI,description,2026-02
meta_00059,Meta,LLMs,research_domains,LLMs,description,2026-02
meta_00059,Meta,Recommender Systems,research_domains,ranking,description,2026-02
meta_00059,Meta,Generative AI,research_domains,Generative AI,description,2026-02
meta_00060,Meta,LLMs,research_domains,LLMs,description,2026-02
meta_00060,Meta,Recommender Systems,research_domains,ranking,description,2026-02
meta_00060,Meta,Generative AI,research_domains,Generative AI,description,2026-02
meta_00061,Meta,LLMs,research_domains,LLMs,description,2026-02
meta_00061,Meta,Recommender Systems,research_domains,ranking,description,2026-02
meta_00061,Meta,Generative AI,research_domains,Generative AI,description,2026-02
meta_00062,Meta,LLMs,research_domains,LLMs,description,2026-02
meta_00062,Meta,Recommender Systems,research_domains,ranking,description,2026-02
meta_00062,Meta,Generative AI,research_domains,Generative AI,description,2026-02
meta_00063,Meta,LLMs,research_domains,LLMs,description,2026-02
meta_00063,Meta,Recommender Systems,research_domains,ranking,description,2026-02
meta_00063,Meta,Generative AI,research_domains,Generative AI,description,2026-02
meta_00064,Meta,LLMs,research_domains,LLMs,description,2026-02
meta_00064,Meta,Recommender Systems,research_domains,ranking,description,2026-02
meta_00064,Meta,Generative AI,research_domains,Generative AI,description,2026-02
meta_00065,Meta,LLMs,research_domains,LLMs,description,2026-02
meta_00065,Meta,Recommender Systems,research_domains,ranking,description,2026-02
meta_00065,Meta,Generative AI,research_domains,Generative AI,description,2026-02
meta_00066,Meta,LLMs,research_domains,LLMs,description,2026-02
meta_00066,Meta,Recommender Systems,research_domains,ranking,description,2026-02
meta_00066,Meta,Generative AI,research_domains,Generative AI,description,2026-02
meta_00067,Meta,LLMs,research_domains,LLMs,description,2026-02
meta_00067,Meta,Recommender Systems,research_domains,ranking,description,2026-02
meta_00067,Meta,Generative AI,research_domains,Generative AI,description,2026-02
meta_00068,Meta,LLMs,research_domains,LLMs,description,2026-02
meta_00068,Meta,Recommender Systems,research_domains,ranking,description,2026-02
meta_00068,Meta,Generative AI,research_domains,Generative AI,description,2026-02
meta_00069,Meta,LLMs,research_domains,LLMs,description,2026-02
meta_00069,Meta,Recommender Systems,research_domains,ranking,description,2026-02
meta_00069,Meta,Generative AI,research_domains,Generative AI,description,2026-02
meta_00070,Meta,LLMs,research_domains,LLMs,description,2026-02
meta_00070,Meta,Recommender Systems,research_domains,ranking,description,2026-02
meta_00070,Meta,Generative AI,research_domains,Generative AI,description,2026-02
meta_00071,Meta,LLMs,research_domains,LLMs,description,2026-02
meta_00071,Meta,Recommender Systems,research_domains,ranking,description,2026-02
meta_00071,Meta,Generative AI,research_domains,Generative AI,description,2026-02
meta_00072,Meta,AI Safety,research_domains,alignment,description,2026-02
meta_00073,Meta,AI Safety,research_domains,alignment,description,2026-02
meta_00074,Meta,LLMs,research_domains,generative ai,description,2026-02
meta_00074,Meta,Generative AI,research_domains,Generative AI,description,2026-02
meta_00075,Meta,LLMs,research_domains,large language models,description,2026-02
meta_00076,Meta,Statistics,analytics_bi,Statistics,description,2025-12
meta_00076,Meta,Machine Learning,research_domains,Machine Learning,description,2025-12
meta_00077,Meta,Statistics,analytics_bi,Statistics,description,2026-02
meta_00077,Meta,Machine Learning,research_domains,Machine Learning,description,2026-02
meta_00078,Meta,Recommender Systems,research_domains,ranking,description,2026-01
meta_00079,Meta,Recommender Systems,research_domains,ranking,description,2026-01
meta_00080,Meta,Recommender Systems,research_domains,ranking,description,2026-02
meta_00082,Meta,Machine Learning,research_domains,Machine Learning,description,2026-02
meta_00082,Meta,LLMs,research_domains,genai,description,2026-02
meta_00082,Meta,Generative AI,research_domains,genai,description,2026-02
meta_00082,Meta,Agentic AI,research_domains,agents,description,2026-02
meta_00082,Meta,Speech and Audio,research_domains,speech,title,2026-02
meta_00084,Meta,AI Safety,research_domains,alignment,title,2026-02
meta_00087,Meta,Machine Learning,research_domains,ml,description,2025-12
meta_00087,Meta,Computer Vision,research_domains,Computer Vision,title,2025-12
meta_00087,Meta,Reinforcement Learning,research_domains,rl,description,2025-12
meta_00087,Meta,Agentic AI,research_domains,agents,description,2025-12
meta_00088,Meta,NLP,research_domains,natural language processing,description,2026-02
meta_00088,Meta,Computer Vision,research_domains,Computer Vision,description,2026-02
meta_00088,Meta,Reinforcement Learning,research_domains,Reinforcement Learning,description,2026-02
meta_00089,Meta,Machine Learning,research_domains,ml,title,2025-12
meta_00090,Meta,Machine Learning,research_domains,Machine Learning,description,2025-12
meta_00090,Meta,Machine Learning,research_domains,ml,title,2025-12
meta_00091,Meta,Machine Learning,research_domains,Machine Learning,description,2026-01
meta_00091,Meta,Machine Learning,research_domains,ml,title,2026-01
meta_00092,Meta,Python,languages,Python,description,2026-06
meta_00092,Meta,SQL,languages,SQL,description,2026-06
meta_00092,Meta,Apache Spark,data_engineering,spark,description,2026-06
meta_00092,Meta,Tableau,analytics_bi,Tableau,description,2026-06
meta_00092,Meta,Power BI,analytics_bi,powerbi,description,2026-06
meta_00092,Meta,A/B Testing,analytics_bi,experimentation,description,2026-06
meta_00092,Meta,Statistics,analytics_bi,Statistics,description,2026-06
meta_00092,Meta,Machine Learning,research_domains,Machine Learning,description,2026-06
meta_00092,Meta,NLP,research_domains,NLP,description,2026-06
meta_00092,Meta,Datacenter Systems,hardware_systems,data center,description,2026-06
meta_00092,Meta,Performance Engineering,hardware_systems,performance,description,2026-06
meta_00092,Meta,Digital Twin and Simulation,research_domains,simulation,description,2026-06
meta_00093,Meta,Python,languages,Python,description,2026-06
meta_00093,Meta,SQL,languages,SQL,description,2026-06
meta_00093,Meta,R,languages,R,description,2026-06
meta_00093,Meta,A/B Testing,analytics_bi,experimentation,description,2026-06
meta_00093,Meta,Statistics,analytics_bi,Statistics,description,2026-06
meta_00094,Meta,Python,languages,Python,description,2026-05
meta_00094,Meta,SQL,languages,SQL,description,2026-05
meta_00094,Meta,R,languages,R,description,2026-05
meta_00094,Meta,A/B Testing,analytics_bi,experimentation,description,2026-05
meta_00095,Meta,Python,languages,Python,description,2026-06
meta_00095,Meta,SQL,languages,SQL,description,2026-06
meta_00095,Meta,A/B Testing,analytics_bi,experimentation,description,2026-06
meta_00095,Meta,Statistics,analytics_bi,Statistics,description,2026-06
meta_00096,Meta,Python,languages,Python,description,2026-04
meta_00096,Meta,SQL,languages,SQL,description,2026-04
meta_00096,Meta,A/B Testing,analytics_bi,experimentation,description,2026-04
meta_00096,Meta,Statistics,analytics_bi,Statistics,description,2026-04
meta_00097,Meta,Python,languages,Python,description,2026-04
meta_00097,Meta,SQL,languages,SQL,description,2026-04
meta_00097,Meta,A/B Testing,analytics_bi,experimentation,description,2026-04
meta_00097,Meta,Statistics,analytics_bi,Statistics,description,2026-04
meta_00098,Meta,Python,languages,Python,description,2026-06
meta_00098,Meta,SQL,languages,SQL,description,2026-06
meta_00098,Meta,A/B Testing,analytics_bi,experimentation,description,2026-06
meta_00098,Meta,Statistics,analytics_bi,Statistics,description,2026-06
meta_00099,Meta,Python,languages,Python,description,2026-05
meta_00099,Meta,SQL,languages,SQL,description,2026-05
meta_00099,Meta,R,languages,R,description,2026-05
meta_00099,Meta,A/B Testing,analytics_bi,experimentation,description,2026-05
meta_00099,Meta,Statistics,analytics_bi,Statistics,description,2026-05
meta_00100,Meta,Python,languages,Python,description,2026-06
meta_00100,Meta,SQL,languages,SQL,description,2026-06
meta_00100,Meta,A/B Testing,analytics_bi,experimentation,description,2026-06
meta_00100,Meta,Statistics,analytics_bi,Statistics,description,2026-06
meta_00101,Meta,Python,languages,Python,description,2026-06
meta_00101,Meta,SQL,languages,SQL,description,2026-06
meta_00101,Meta,R,languages,R,description,2026-06
meta_00101,Meta,A/B Testing,analytics_bi,experimentation,description,2026-06
meta_00101,Meta,Statistics,analytics_bi,Statistics,description,2026-06
meta_00102,Meta,Python,languages,Python,description,2026-06
meta_00102,Meta,SQL,languages,SQL,description,2026-06
meta_00102,Meta,A/B Testing,analytics_bi,experimentation,description,2026-06
meta_00103,Meta,Python,languages,Python,description,2026-06
meta_00103,Meta,SQL,languages,SQL,description,2026-06
meta_00103,Meta,A/B Testing,analytics_bi,experimentation,description,2026-06
meta_00103,Meta,Cloud Infrastructure,cloud_infra,cloud,description,2026-06
meta_00104,Meta,Python,languages,Python,description,2026-05
meta_00104,Meta,SQL,languages,SQL,description,2026-05
meta_00104,Meta,A/B Testing,analytics_bi,experimentation,description,2026-05
meta_00105,Meta,Python,languages,Python,description,2026-04
meta_00105,Meta,SQL,languages,SQL,description,2026-04
meta_00105,Meta,R,languages,R,description,2026-04
meta_00105,Meta,A/B Testing,analytics_bi,experimentation,description,2026-04
meta_00105,Meta,Statistics,analytics_bi,Statistics,description,2026-04
meta_00106,Meta,Python,languages,Python,description,2026-04
meta_00106,Meta,SQL,languages,SQL,description,2026-04
meta_00106,Meta,A/B Testing,analytics_bi,experimentation,description,2026-04
meta_00106,Meta,Statistics,analytics_bi,Statistics,description,2026-04
meta_00107,Meta,Python,languages,Python,description,2026-04
meta_00107,Meta,SQL,languages,SQL,description,2026-04
meta_00107,Meta,A/B Testing,analytics_bi,experimentation,description,2026-04
meta_00107,Meta,Statistics,analytics_bi,Statistics,description,2026-04
meta_00107,Meta,Machine Learning,research_domains,Machine Learning,description,2026-04
meta_00107,Meta,Technical Leadership,product_process,Technical Leadership,title,2026-04
meta_00107,Meta,Inference and Serving,research_domains,inference,description,2026-04
meta_00107,Meta,Technical Program Management,product_process,tpm,description,2026-04
meta_00108,Meta,Python,languages,Python,description,2026-04
meta_00108,Meta,PyTorch,ml_frameworks,PyTorch,description,2026-04
meta_00108,Meta,Machine Learning,research_domains,Machine Learning,description,2026-04
meta_00108,Meta,Deep Learning,research_domains,Deep Learning,description,2026-04
meta_00108,Meta,Computer Vision,research_domains,Computer Vision,title,2026-04
meta_00108,Meta,Robotics,research_domains,Robotics,description,2026-04
meta_00108,Meta,Research Publication,product_process,neurips,description,2026-04
meta_00109,Meta,PyTorch,ml_frameworks,PyTorch,description,2026-04
meta_00109,Meta,A/B Testing,analytics_bi,A/B Testing,description,2026-04
meta_00109,Meta,Distributed Training,hardware_systems,Distributed Training,description,2026-04
meta_00109,Meta,Machine Learning,research_domains,Machine Learning,description,2026-04
meta_00109,Meta,NLP,research_domains,NLP,description,2026-04
meta_00109,Meta,LLMs,research_domains,large language models,description,2026-04
meta_00109,Meta,RLHF,research_domains,reinforcement learning from human feedback,description,2026-04
meta_00109,Meta,Reinforcement Learning,research_domains,Reinforcement Learning,description,2026-04
meta_00109,Meta,AI Safety,research_domains,alignment,description,2026-04
meta_00109,Meta,Research Publication,product_process,neurips,description,2026-04
meta_00109,Meta,Performance Engineering,hardware_systems,performance,description,2026-04
meta_00109,Meta,Agentic AI,research_domains,agentic,description,2026-04
meta_00109,Meta,Site Reliability,mlops_devops,reliability,description,2026-04
meta_00110,Meta,Python,languages,Python,description,2026-04
meta_00110,Meta,Statistics,analytics_bi,Statistics,description,2026-04
meta_00110,Meta,Distributed Training,hardware_systems,Distributed Training,description,2026-04
meta_00110,Meta,Machine Learning,research_domains,Machine Learning,description,2026-04
meta_00110,Meta,NLP,research_domains,natural language processing,description,2026-04
meta_00110,Meta,Computer Vision,research_domains,Computer Vision,description,2026-04
meta_00110,Meta,AI Safety,research_domains,alignment,description,2026-04
meta_00110,Meta,Research Publication,product_process,neurips,description,2026-04
meta_00110,Meta,Performance Engineering,hardware_systems,optimization,description,2026-04
meta_00110,Meta,Speech and Audio,research_domains,audio,description,2026-04
meta_00111,Meta,Python,languages,Python,description,2026-04
meta_00111,Meta,SQL,languages,SQL,description,2026-04
meta_00111,Meta,Performance Engineering,hardware_systems,optimization,description,2026-04
meta_00112,Meta,PyTorch,ml_frameworks,PyTorch,description,2026-05
meta_00112,Meta,Machine Learning,research_domains,Machine Learning,description,2026-05
meta_00112,Meta,LLMs,research_domains,LLMs,description,2026-05
meta_00112,Meta,Reinforcement Learning,research_domains,Reinforcement Learning,description,2026-05
meta_00112,Meta,Research Publication,product_process,neurips,description,2026-05
meta_00112,Meta,Agentic AI,research_domains,agentic,description,2026-05
meta_00113,Meta,Python,languages,Python,description,2026-05
meta_00113,Meta,SQL,languages,SQL,description,2026-05
meta_00113,Meta,A/B Testing,analytics_bi,experimentation,description,2026-05
meta_00113,Meta,Statistics,analytics_bi,Statistics,description,2026-05
meta_00114,Meta,ETL,data_engineering,data pipelines,description,2026-05
meta_00114,Meta,Machine Learning,research_domains,ml,description,2026-05
meta_00114,Meta,LLMs,research_domains,LLMs,description,2026-05
meta_00114,Meta,RAG,research_domains,RAG,description,2026-05
meta_00114,Meta,RLHF,research_domains,RLHF,description,2026-05
meta_00114,Meta,Generative AI,research_domains,genai,description,2026-05
meta_00114,Meta,Agentic AI,research_domains,agentic,description,2026-05
meta_00114,Meta,Inference and Serving,research_domains,serving,description,2026-05
meta_00115,Meta,Docker,cloud_infra,containers,description,2026-06
meta_00115,Meta,Embedded Systems,hardware_systems,Embedded Systems,description,2026-06
meta_00115,Meta,Machine Learning,research_domains,ml,description,2026-06
meta_00115,Meta,Computer Vision,research_domains,Computer Vision,title,2026-06
meta_00115,Meta,LLMs,research_domains,genai,description,2026-06
meta_00115,Meta,Robotics,research_domains,av,description,2026-06
meta_00115,Meta,Performance Engineering,hardware_systems,optimization,description,2026-06
meta_00115,Meta,Generative AI,research_domains,genai,description,2026-06
meta_00115,Meta,Autonomous Vehicles,research_domains,av,description,2026-06
meta_00115,Meta,Speech and Audio,research_domains,audio,description,2026-06
meta_00116,Meta,Python,languages,Python,description,2026-06
meta_00116,Meta,SQL,languages,SQL,description,2026-06
meta_00116,Meta,A/B Testing,analytics_bi,experimentation,description,2026-06
meta_00116,Meta,Cloud Infrastructure,cloud_infra,cloud,description,2026-06
meta_00117,Meta,Python,languages,Python,description,2026-06
meta_00117,Meta,SQL,languages,SQL,description,2026-06
meta_00117,Meta,A/B Testing,analytics_bi,experimentation,description,2026-06
meta_00117,Meta,Cloud Infrastructure,cloud_infra,cloud,description,2026-06
meta_00118,Meta,Python,languages,Python,description,2026-06
meta_00118,Meta,Statistics,analytics_bi,Statistics,description,2026-06
meta_00118,Meta,Distributed Training,hardware_systems,Distributed Training,description,2026-06
meta_00118,Meta,Machine Learning,research_domains,Machine Learning,description,2026-06
meta_00118,Meta,NLP,research_domains,natural language processing,description,2026-06
meta_00118,Meta,Computer Vision,research_domains,Computer Vision,description,2026-06
meta_00118,Meta,AI Safety,research_domains,alignment,description,2026-06
meta_00118,Meta,Research Publication,product_process,neurips,description,2026-06
meta_00118,Meta,Performance Engineering,hardware_systems,optimization,description,2026-06
meta_00118,Meta,Speech and Audio,research_domains,audio,description,2026-06
meta_00119,Meta,Python,languages,Python,description,2026-06
meta_00119,Meta,PyTorch,ml_frameworks,PyTorch,description,2026-06
meta_00119,Meta,TensorFlow,ml_frameworks,TensorFlow,description,2026-06
meta_00119,Meta,Apache Spark,data_engineering,spark,description,2026-06
meta_00119,Meta,MLOps,mlops_devops,MLOps,description,2026-06
meta_00119,Meta,A/B Testing,analytics_bi,A/B Testing,description,2026-06
meta_00119,Meta,Statistics,analytics_bi,statistical modeling,description,2026-06
meta_00119,Meta,Machine Learning,research_domains,Machine Learning,title,2026-06
meta_00119,Meta,Deep Learning,research_domains,Deep Learning,description,2026-06
meta_00119,Meta,Recommender Systems,research_domains,ranking,description,2026-06
meta_00119,Meta,Performance Engineering,hardware_systems,performance,description,2026-06
meta_00119,Meta,Site Reliability,mlops_devops,reliability,description,2026-06
meta_00120,Meta,Python,languages,Python,description,2026-06
meta_00120,Meta,SQL,languages,SQL,description,2026-06
meta_00120,Meta,Java,languages,Java,description,2026-06
meta_00120,Meta,PyTorch,ml_frameworks,PyTorch,description,2026-06
meta_00120,Meta,TensorFlow,ml_frameworks,TensorFlow,description,2026-06
meta_00120,Meta,Apache Spark,data_engineering,spark,description,2026-06
meta_00120,Meta,Machine Learning,research_domains,Machine Learning,title,2026-06
meta_00120,Meta,Deep Learning,research_domains,Deep Learning,description,2026-06
meta_00120,Meta,NLP,research_domains,natural language processing,description,2026-06
meta_00120,Meta,Computer Vision,research_domains,Computer Vision,description,2026-06
meta_00120,Meta,Recommender Systems,research_domains,ranking,description,2026-06
meta_00120,Meta,Agile,product_process,Agile,description,2026-06
meta_00120,Meta,Compilers,hardware_systems,Compilers,description,2026-06
meta_00120,Meta,Networking,hardware_systems,network,description,2026-06
meta_00120,Meta,Performance Engineering,hardware_systems,optimization,description,2026-06
meta_00121,Meta,Python,languages,Python,description,2026-06
meta_00121,Meta,SQL,languages,SQL,description,2026-06
meta_00121,Meta,PyTorch,ml_frameworks,PyTorch,description,2026-06
meta_00121,Meta,TensorFlow,ml_frameworks,TensorFlow,description,2026-06
meta_00121,Meta,Apache Spark,data_engineering,spark,description,2026-06
meta_00121,Meta,ETL,data_engineering,data pipelines,description,2026-06
meta_00121,Meta,Machine Learning,research_domains,Machine Learning,title,2026-06
meta_00121,Meta,Deep Learning,research_domains,Deep Learning,description,2026-06
meta_00121,Meta,NLP,research_domains,natural language processing,description,2026-06
meta_00121,Meta,Computer Vision,research_domains,Computer Vision,description,2026-06
meta_00121,Meta,Recommender Systems,research_domains,ranking,description,2026-06
meta_00121,Meta,Compilers,hardware_systems,Compilers,description,2026-06
meta_00121,Meta,Networking,hardware_systems,Networking,description,2026-06
meta_00121,Meta,Performance Engineering,hardware_systems,performance,description,2026-06
